disease,text,risk_level
congenital malformation syndrome,"My child's breathing problems are getting worse, and feeds take forever to complete. I really need help.",High
congenital malformation syndrome,The pain and discomfort my child experiences daily is heartbreaking to witness; it's really concerning.,High
congenital malformation syndrome,I can see my child struggling more and more with basic functions that should be easy. I really need help.,High
congenital malformation syndrome,"The muscle weakness is progressing, and daily activities are becoming harder. I really need help.",High
congenital malformation syndrome,"Lately, the pain and discomfort my child experiences daily is heartbreaking to witness.",High
congenital malformation syndrome,"The muscle weakness is progressing, and daily activities are becoming harder; it's really concerning.",High
congenital malformation syndrome,I can see my child struggling more and more with basic functions that should be easy; it's really concerning.,High
congenital malformation syndrome,My child is having difficulty breathing and seems to tire very easily during feeding; it's really concerning.,High
congenital malformation syndrome,My child is having difficulty breathing and seems to tire very easily during feeding. I really need help.,High
congenital malformation syndrome,I'm worried about my child's persistent symptoms that seem to be getting worse; it's really concerning.,High
congenital malformation syndrome,"The developmental delays are concerning, and now there are new symptoms appearing; it's really concerning.",High
congenital malformation syndrome,"The developmental delays are concerning, and now there are new symptoms appearing. I really need help.",High
congenital malformation syndrome,I can see my child struggling more and more with basic functions that should be easy. I really need help.,High
congenital malformation syndrome,I'm worried about my child's persistent symptoms that seem to be getting worse; it's really concerning.,High
congenital malformation syndrome,"Lately, i'm worried about my child's persistent symptoms that seem to be getting worse.",High
congenital malformation syndrome,"Lately, my child's breathing problems are getting worse, and feeds take forever to complete.",High
congenital malformation syndrome,"Lately, the pain and discomfort my child experiences daily is heartbreaking to witness.",High
conversion disorder,"I've suddenly lost the ability to move my legs, and the doctors can't find a cause.",High
conversion disorder,"My vision went blurry out of nowhere, and now I'm having trouble seeing clearly.",High
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away.",High
conversion disorder,"I keep having episodes where I can't speak, and it's terrifying.",High
conversion disorder,"My body feels paralyzed at times, but tests show nothing physically wrong.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I'm scared to go out alone.",High
conversion disorder,"I'm experiencing tremors that I can't control, and they started suddenly.",High
conversion disorder,"My limbs feel heavy and unresponsive, and the symptoms come and go unpredictably.",High
conversion disorder,"Lately, i keep having episodes where I can't speak, and it's terrifying.",High
conversion disorder,"My limbs feel heavy and unresponsive, and the symptoms come and go unpredictably. I really need help.",High
conversion disorder,"Lately, my limbs feel heavy and unresponsive, and the symptoms come and go unpredictably.",High
conversion disorder,"I am experiencing tremors that I can't control, and they started suddenly.",High
conversion disorder,"I'm experiencing tremors that I cannot control, and they started suddenly.",High
conversion disorder,"I'm experiencing tremors that I cannot control, and they started suddenly.",High
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away; it's really concerning.",High
conversion disorder,"My limbs feel heavy and unresponsive, and the symptoms come and go unpredictably. I really need help.",High
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away. I really need help.",High
conversion disorder,"Lately, the numbness in my arms came on suddenly, and it's not going away.",High
conversion disorder,"Lately, i keep having episodes where I can't speak, and it's terrifying.",High
conversion disorder,"I've suddenly lost the ability to move my legs, and the doctors can't find a cause. I really need help.",High
conversion disorder,"I keep having episodes where I can't speak, and it's terrifying. I really need help.",High
conversion disorder,"Lately, i've suddenly lost the ability to move my legs, and the doctors can't find a cause.",High
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away. I really need help.",High
conversion disorder,"My vision went blurry out of nowhere, and now I am having trouble seeing clearly.",High
conversion disorder,"My limbs feel heavy and unresponsive, and the symptoms come and go unpredictably; it's really concerning.",High
conversion disorder,"I'm experiencing tremors that I cannot control, and they started suddenly.",High
conversion disorder,"Lately, my vision went blurry out of nowhere, and now I'm having trouble seeing clearly.",High
conversion disorder,"My body feels paralyzed at times, but tests show nothing physically wrong; it's really concerning.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I'm scared to go out alone; it's really concerning.",High
conversion disorder,"My limbs feel heavy and unresponsive, and the symptoms come and go unpredictably; it's really concerning.",High
conversion disorder,"My limbs feel heavy and unresponsive, and the symptoms come and go unpredictably; it's really concerning.",High
conversion disorder,"I am experiencing tremors that I can't control, and they started suddenly.",High
conversion disorder,"My vision went blurry out of nowhere, and now I'm having trouble seeing clearly. I really need help.",High
conversion disorder,"My body feels paralyzed at times, but tests show nothing physically wrong; it's really concerning.",High
conversion disorder,"My vision went blurry out of nowhere, and now I'm having trouble seeing clearly; it's really concerning.",High
conversion disorder,"I've suddenly lost the ability to move my legs, and the doctors can't find a cause; it's really concerning.",High
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away; it's really concerning.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I am scared to go out alone.",High
conversion disorder,"The numbness in my arms came on suddenly, and it's not going away. I really need help.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I am scared to go out alone.",High
conversion disorder,"I'm experiencing tremors that I can't control, and they started suddenly; it's really concerning.",High
conversion disorder,"My body feels paralyzed at times, but tests show nothing physically wrong. I really need help.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I'm scared to go out alone; it's really concerning.",High
conversion disorder,"I've suddenly lost the ability to move my legs, and the doctors can't find a cause; it's really concerning.",High
conversion disorder,"Lately, i've suddenly lost the ability to move my legs, and the doctors can't find a cause.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I'm scared to go out alone. I really need help.",High
conversion disorder,"The sudden weakness makes me fall unexpectedly, and I'm scared to go out alone; it's really concerning.",High
conversion disorder,"I'm experiencing tremors that I cannot control, and they started suddenly.",High
conversion disorder,"I'm experiencing tremors that I cannot control, and they started suddenly.",High
conversion disorder,"I'm experiencing tremors that I can't control, and they started suddenly; it's really concerning.",High
frostbite,"My fingers are white and waxy, and I can't feel them at all anymore.",High
frostbite,"The skin on my toes has turned hard and dark, and the pain is excruciating.",High
frostbite,"I was exposed to the cold for too long, and now my skin is blistering badly.",High
frostbite,My ears are swollen and have turned purple; the burning sensation is intense.,High
frostbite,The numbness has turned to severe pain as my fingers start to thaw.,High
frostbite,"Large blisters have formed on my hands, and the skin looks grayish-white.",High
frostbite,I can't move my fingers properly after being in the cold; they're stiff and discolored.,High
frostbite,"The affected areas are turning black at the edges, and the pain is unbearable.",High
frostbite,"My fingers are white and waxy, and I cannot feel them at all anymore.",High
frostbite,"I was exposed to the cold for too long, and now my skin is blistering badly. I really need help.",High
frostbite,"Lately, my fingers are white and waxy, and I can't feel them at all anymore.",High
frostbite,"The affected areas are turning black at the edges, and the pain is unbearable; it's really concerning.",High
frostbite,"Lately, i was exposed to the cold for too long, and now my skin is blistering badly.",High
frostbite,"The affected areas are turning black at the edges, and the pain is unbearable. I really need help.",High
frostbite,"Large blisters have formed on my hands, and the skin looks grayish-white; it's really concerning.",High
frostbite,"Large blisters have formed on my hands, and the skin looks grayish-white; it's really concerning.",High
frostbite,"My fingers are white and waxy, and I can't feel them at all anymore; it's really concerning.",High
frostbite,"Lately, i was exposed to the cold for too long, and now my skin is blistering badly.",High
frostbite,"My fingers are white and waxy, and I cannot feel them at all anymore.",High
frostbite,"The skin on my toes has turned hard and dark, and the pain is excruciating; it's really concerning.",High
frostbite,"Large blisters have formed on my hands, and the skin looks grayish-white; it's really concerning.",High
frostbite,"My fingers are white and waxy, and I can't feel them at all anymore. I really need help.",High
frostbite,My ears are swollen and have turned purple; the burning sensation is intense. I really need help.,High
frostbite,"My fingers are white and waxy, and I cannot feel them at all anymore.",High
frostbite,"The skin on my toes has turned hard and dark, and the pain is excruciating. I really need help.",High
frostbite,"My fingers are white and waxy, and I can't feel them at all anymore. I really need help.",High
frostbite,"Lately, my ears are swollen and have turned purple; the burning sensation is intense.",High
frostbite,"Lately, the affected areas are turning black at the edges, and the pain is unbearable.",High
frostbite,I can't move my fingers properly after being in the cold; they're stiff and discolored. I really need help.,High
frostbite,"My ears are swollen and have turned purple, the burning sensation is intense; it's really concerning.",High
frostbite,"My fingers are white and waxy, and I can't feel them at all anymore. I really need help.",High
frostbite,"Lately, i was exposed to the cold for too long, and now my skin is blistering badly.",High
frostbite,I cannot move my fingers properly after being in the cold; they're stiff and discolored.,High
frostbite,"The affected areas are turning black at the edges, and the pain is unbearable; it's really concerning.",High
frostbite,I can't move my fingers properly after being in the cold; they're stiff and discolored. I really need help.,High
frostbite,"Large blisters have formed on my hands, and the skin looks grayish-white. I really need help.",High
frostbite,"The skin on my toes has turned hard and dark, and the pain is excruciating; it's really concerning.",High
frostbite,"My fingers are white and waxy, and I cannot feel them at all anymore.",High
frostbite,"I was exposed to the cold for too long, and now my skin is blistering badly. I really need help.",High
frostbite,"The affected areas are turning black at the edges, and the pain is unbearable; it's really concerning.",High
frostbite,"My fingers are white and waxy, and I cannot feel them at all anymore.",High
frostbite,"Lately, the numbness has turned to severe pain as my fingers start to thaw.",High
frostbite,"Lately, i was exposed to the cold for too long, and now my skin is blistering badly.",High
frostbite,"Lately, large blisters have formed on my hands, and the skin looks grayish-white.",High
frostbite,I cannot move my fingers properly after being in the cold; they're stiff and discolored.,High
frostbite,"Lately, the numbness has turned to severe pain as my fingers start to thaw.",High
frostbite,"Large blisters have formed on my hands, and the skin looks grayish-white; it's really concerning.",High
frostbite,"Lately, the numbness has turned to severe pain as my fingers start to thaw.",High
frostbite,"The skin on my toes has turned hard and dark, and the pain is excruciating; it's really concerning.",High
frostbite,I can't move my fingers properly after being in the cold; they're stiff and discolored. I really need help.,High
glucocorticoid deficiency,"I feel weak and dizzy constantly, and I've lost my appetite completely.",High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I've lost weight rapidly.",High
glucocorticoid deficiency,I feel nauseated all the time and my skin seems darker than usual.,High
glucocorticoid deficiency,The muscle weakness and joint pain make every movement a struggle.,High
glucocorticoid deficiency,"I crave salt constantly, and I feel like I'm going to faint when I stand.",High
glucocorticoid deficiency,"My blood pressure drops dangerously when I stand up, making me dizzy.",High
glucocorticoid deficiency,"The exhaustion is overwhelming, and even simple tasks feel impossible.",High
glucocorticoid deficiency,I've been having severe abdominal pain and my energy levels are critically low.,High
glucocorticoid deficiency,"I feel weak and dizzy constantly, and I've lost my appetite completely. I really need help.",High
glucocorticoid deficiency,"Lately, i've been having severe abdominal pain and my energy levels are critically low.",High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I have lost weight rapidly.",High
glucocorticoid deficiency,"I feel weak and dizzy constantly, and I've lost my appetite completely; it's really concerning.",High
glucocorticoid deficiency,"I crave salt constantly, and I feel like I am going to faint when I stand.",High
glucocorticoid deficiency,"Lately, my blood pressure drops dangerously when I stand up, making me dizzy.",High
glucocorticoid deficiency,I have been having severe abdominal pain and my energy levels are critically low.,High
glucocorticoid deficiency,"Lately, my blood pressure drops dangerously when I stand up, making me dizzy.",High
glucocorticoid deficiency,"Lately, the exhaustion is overwhelming, and even simple tasks feel impossible.",High
glucocorticoid deficiency,I've been having severe abdominal pain and my energy levels are critically low. I really need help.,High
glucocorticoid deficiency,The muscle weakness and joint pain make every movement a struggle; it's really concerning.,High
glucocorticoid deficiency,"I crave salt constantly, and I feel like I am going to faint when I stand.",High
glucocorticoid deficiency,I have been having severe abdominal pain and my energy levels are critically low.,High
glucocorticoid deficiency,"The exhaustion is overwhelming, and even simple tasks feel impossible. I really need help.",High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I've lost weight rapidly; it's really concerning.",High
glucocorticoid deficiency,"Lately, i feel nauseated all the time and my skin seems darker than usual.",High
glucocorticoid deficiency,"I crave salt constantly, and I feel like I'm going to faint when I stand. I really need help.",High
glucocorticoid deficiency,"Lately, i've been having severe abdominal pain and my energy levels are critically low.",High
glucocorticoid deficiency,"I feel weak and dizzy constantly, and I've lost my appetite completely. I really need help.",High
glucocorticoid deficiency,I have been having severe abdominal pain and my energy levels are critically low.,High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I've lost weight rapidly. I really need help.",High
glucocorticoid deficiency,"My blood pressure drops dangerously when I stand up, making me dizzy; it's really concerning.",High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I have lost weight rapidly.",High
glucocorticoid deficiency,"Lately, i've been having severe abdominal pain and my energy levels are critically low.",High
glucocorticoid deficiency,I've been having severe abdominal pain and my energy levels are critically low. I really need help.,High
glucocorticoid deficiency,"I feel weak and dizzy constantly, and I've lost my appetite completely. I really need help.",High
glucocorticoid deficiency,"The exhaustion is overwhelming, and even simple tasks feel impossible; it's really concerning.",High
glucocorticoid deficiency,"My blood pressure drops dangerously when I stand up, making me dizzy; it's really concerning.",High
glucocorticoid deficiency,The muscle weakness and joint pain make every movement a struggle; it's really concerning.,High
glucocorticoid deficiency,The muscle weakness and joint pain make every movement a struggle; it's really concerning.,High
glucocorticoid deficiency,I feel nauseated all the time and my skin seems darker than usual. I really need help.,High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I have lost weight rapidly.",High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I have lost weight rapidly.",High
glucocorticoid deficiency,The muscle weakness and joint pain make every movement a struggle; it's really concerning.,High
glucocorticoid deficiency,I feel nauseated all the time and my skin seems darker than usual. I really need help.,High
glucocorticoid deficiency,I've been having severe abdominal pain and my energy levels are critically low; it's really concerning.,High
glucocorticoid deficiency,I have been having severe abdominal pain and my energy levels are critically low.,High
glucocorticoid deficiency,"The fatigue is so severe I can barely function, and I have lost weight rapidly.",High
glucocorticoid deficiency,"I crave salt constantly, and I feel like I am going to faint when I stand.",High
glucocorticoid deficiency,"Lately, the exhaustion is overwhelming, and even simple tasks feel impossible.",High
glucocorticoid deficiency,The muscle weakness and joint pain make every movement a struggle. I really need help.,High
glucocorticoid deficiency,"Lately, the muscle weakness and joint pain make every movement a struggle.",High
granuloma inguinale,The sores in my groin area are spreading and bleeding when I walk.,High
granuloma inguinale,"The painless ulcers have grown larger, and the tissue looks raw and red.",High
granuloma inguinale,"I'm noticing the infection spreading to other areas, and it's very concerning.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores won't heal on their own.",High
granuloma inguinale,The lesions have become quite extensive and are affecting my daily comfort.,High
granuloma inguinale,"I've had these spreading sores for weeks, and they're getting worse, not better.",High
granuloma inguinale,"The beefy red appearance of the ulcers is alarming, and they keep growing.",High
granuloma inguinale,"The affected area is quite large now, and the tissue destruction is worrying.",High
granuloma inguinale,"Lately, the lesions have become quite extensive and are affecting my daily comfort.",High
granuloma inguinale,The lesions have become quite extensive and are affecting my daily comfort. I really need help.,High
granuloma inguinale,The lesions have become quite extensive and are affecting my daily comfort; it's really concerning.,High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores won't heal on their own. I really need help.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores will not heal on their own.",High
granuloma inguinale,"The affected area is quite large now, and the tissue destruction is worrying. I really need help.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores will not heal on their own.",High
granuloma inguinale,"Lately, the painless ulcers have grown larger, and the tissue looks raw and red.",High
granuloma inguinale,"I am noticing the infection spreading to other areas, and it's very concerning.",High
granuloma inguinale,"The beefy red appearance of the ulcers is alarming, and they keep growing; it's really concerning.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores will not heal on their own.",High
granuloma inguinale,"I'm noticing the infection spreading to other areas, and it's very concerning; it's really concerning.",High
granuloma inguinale,"Lately, the sores in my groin area are spreading and bleeding when I walk.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores won't heal on their own; it's really concerning.",High
granuloma inguinale,"The beefy red appearance of the ulcers is alarming, and they keep growing; it's really concerning.",High
granuloma inguinale,"I'm noticing the infection spreading to other areas, and it's very concerning. I really need help.",High
granuloma inguinale,"Lately, the sores in my groin area are spreading and bleeding when I walk.",High
granuloma inguinale,"I've had these spreading sores for weeks, and they're getting worse, not better; it's really concerning.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores will not heal on their own.",High
granuloma inguinale,"I've had these spreading sores for weeks, and they're getting worse, not better. I really need help.",High
granuloma inguinale,"Lately, i'm noticing the infection spreading to other areas, and it's very concerning.",High
granuloma inguinale,"I am noticing the infection spreading to other areas, and it's very concerning.",High
granuloma inguinale,"The affected area is quite large now, and the tissue destruction is worrying; it's really concerning.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores won't heal on their own; it's really concerning.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores won't heal on their own; it's really concerning.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores won't heal on their own. I really need help.",High
granuloma inguinale,"Lately, i've had these spreading sores for weeks, and they're getting worse, not better.",High
granuloma inguinale,"I've had these spreading sores for weeks, and they're getting worse, not better. I really need help.",High
granuloma inguinale,"The granulated tissue keeps bleeding, and the sores will not heal on their own.",High
granuloma inguinale,"I have had these spreading sores for weeks, and they're getting worse, not better.",High
granuloma inguinale,The sores in my groin area are spreading and bleeding when I walk. I really need help.,High
granuloma inguinale,"Lately, the lesions have become quite extensive and are affecting my daily comfort.",High
granuloma inguinale,The lesions have become quite extensive and are affecting my daily comfort. I really need help.,High
granuloma inguinale,"The painless ulcers have grown larger, and the tissue looks raw and red. I really need help.",High
granuloma inguinale,"I've had these spreading sores for weeks, and they're getting worse, not better. I really need help.",High
granuloma inguinale,"The beefy red appearance of the ulcers is alarming, and they keep growing; it's really concerning.",High
granuloma inguinale,"The painless ulcers have grown larger, and the tissue looks raw and red. I really need help.",High
granuloma inguinale,The sores in my groin area are spreading and bleeding when I walk. I really need help.,High
granuloma inguinale,"Lately, the beefy red appearance of the ulcers is alarming, and they keep growing.",High
granuloma inguinale,"I am noticing the infection spreading to other areas, and it's very concerning.",High
granuloma inguinale,"I have had these spreading sores for weeks, and they're getting worse, not better.",High
granuloma inguinale,"Lately, the affected area is quite large now, and the tissue destruction is worrying.",High
high blood pressure,"My blood pressure readings have been dangerously high, and I'm having severe headaches.",High
high blood pressure,I'm experiencing chest tightness and my vision is getting blurry from my blood pressure.,High
high blood pressure,The pounding headache and neck pain won't go away; my blood pressure is through the roof.,High
high blood pressure,"I feel like my heart is racing, and my blood pressure medication isn't controlling it anymore.",High
high blood pressure,"The nosebleeds are happening frequently, and my blood pressure is spiking dangerously.",High
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated.,High
high blood pressure,"The headaches are severe and persistent, and I'm seeing spots in my vision.",High
high blood pressure,My heart is pounding and I feel flushed; my blood pressure readings are alarming.,High
high blood pressure,"Lately, the headaches are severe and persistent, and I'm seeing spots in my vision.",High
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated; it's really concerning.,High
high blood pressure,"The headaches are severe and persistent, and I'm seeing spots in my vision; it's really concerning.",High
high blood pressure,"Lately, i'm experiencing chest tightness and my vision is getting blurry from my blood pressure.",High
high blood pressure,"My blood pressure readings have been dangerously high, and I am having severe headaches.",High
high blood pressure,I am experiencing chest tightness and my vision is getting blurry from my blood pressure.,High
high blood pressure,"Lately, my heart is pounding and I feel flushed; my blood pressure readings are alarming.",High
high blood pressure,"Lately, i'm experiencing chest tightness and my vision is getting blurry from my blood pressure.",High
high blood pressure,I am experiencing chest tightness and my vision is getting blurry from my blood pressure.,High
high blood pressure,"My heart is pounding and I feel flushed, my blood pressure readings are alarming; it's really concerning.",High
high blood pressure,"I feel like my heart is racing, and my blood pressure medication isn't controlling it anymore; it's really concerning.",High
high blood pressure,"The pounding headache and neck pain won't go away, my blood pressure is through the roof; it's really concerning.",High
high blood pressure,"Lately, the nosebleeds are happening frequently, and my blood pressure is spiking dangerously.",High
high blood pressure,"The nosebleeds are happening frequently, and my blood pressure is spiking dangerously; it's really concerning.",High
high blood pressure,"Lately, my blood pressure readings have been dangerously high, and I'm having severe headaches.",High
high blood pressure,"The pounding headache and neck pain won't go away, my blood pressure is through the roof; it's really concerning.",High
high blood pressure,"Lately, the pounding headache and neck pain won't go away; my blood pressure is through the roof.",High
high blood pressure,"My blood pressure readings have been dangerously high, and I'm having severe headaches; it's really concerning.",High
high blood pressure,"The headaches are severe and persistent, and I'm seeing spots in my vision. I really need help.",High
high blood pressure,I'm experiencing chest tightness and my vision is getting blurry from my blood pressure. I really need help.,High
high blood pressure,"I feel like my heart is racing, and my blood pressure medication isn't controlling it anymore; it's really concerning.",High
high blood pressure,"I feel like my heart is racing, and my blood pressure medication isn't controlling it anymore; it's really concerning.",High
high blood pressure,I'm experiencing chest tightness and my vision is getting blurry from my blood pressure. I really need help.,High
high blood pressure,"Lately, i feel like my heart is racing, and my blood pressure medication isn't controlling it anymore.",High
high blood pressure,"The pounding headache and neck pain won't go away, my blood pressure is through the roof; it's really concerning.",High
high blood pressure,"The pounding headache and neck pain won't go away, my blood pressure is through the roof; it's really concerning.",High
high blood pressure,"My blood pressure readings have been dangerously high, and I'm having severe headaches; it's really concerning.",High
high blood pressure,"Lately, i'm having difficulty breathing and my blood pressure is extremely elevated.",High
high blood pressure,I am experiencing chest tightness and my vision is getting blurry from my blood pressure.,High
high blood pressure,"Lately, my blood pressure readings have been dangerously high, and I'm having severe headaches.",High
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated. I really need help.,High
high blood pressure,"Lately, i'm experiencing chest tightness and my vision is getting blurry from my blood pressure.",High
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated; it's really concerning.,High
high blood pressure,"Lately, i'm having difficulty breathing and my blood pressure is extremely elevated.",High
high blood pressure,I'm experiencing chest tightness and my vision is getting blurry from my blood pressure. I really need help.,High
high blood pressure,"Lately, i'm having difficulty breathing and my blood pressure is extremely elevated.",High
high blood pressure,"The nosebleeds are happening frequently, and my blood pressure is spiking dangerously. I really need help.",High
high blood pressure,"My blood pressure readings have been dangerously high, and I am having severe headaches.",High
high blood pressure,"Lately, my heart is pounding and I feel flushed; my blood pressure readings are alarming.",High
high blood pressure,I'm having difficulty breathing and my blood pressure is extremely elevated; it's really concerning.,High
high blood pressure,"The headaches are severe and persistent, and I am seeing spots in my vision.",High
high blood pressure,"My heart is pounding and I feel flushed, my blood pressure readings are alarming; it's really concerning.",High
hyperlipidemia,"I'm having chest discomfort when I exert myself, and my cholesterol is very high.",High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal.",High
hyperlipidemia,"I'm noticing yellowish deposits around my eyes, and my cholesterol levels are dangerous.",High
hyperlipidemia,The pain in my legs when walking has gotten worse; circulation seems very poor.,High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart.,High
hyperlipidemia,"I'm experiencing shortness of breath, and my cholesterol levels are extremely elevated.",High
hyperlipidemia,"The fatty deposits on my skin are new, and my blood tests show high lipid levels.",High
hyperlipidemia,Chest pressure during activity and extremely high cholesterol have me concerned about a heart attack.,High
hyperlipidemia,"I'm noticing yellowish deposits around my eyes, and my cholesterol levels are dangerous. I really need help.",High
hyperlipidemia,"I'm noticing yellowish deposits around my eyes, and my cholesterol levels are dangerous; it's really concerning.",High
hyperlipidemia,"I'm experiencing shortness of breath, and my cholesterol levels are extremely elevated; it's really concerning.",High
hyperlipidemia,"The fatty deposits on my skin are new, and my blood tests show high lipid levels; it's really concerning.",High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart; it's really concerning.,High
hyperlipidemia,"I'm noticing yellowish deposits around my eyes, and my cholesterol levels are dangerous; it's really concerning.",High
hyperlipidemia,"Lately, i'm experiencing shortness of breath, and my cholesterol levels are extremely elevated.",High
hyperlipidemia,"Lately, my family history combined with my high cholesterol has me very worried about my heart.",High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart; it's really concerning.,High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart; it's really concerning.,High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal; it's really concerning.",High
hyperlipidemia,"Lately, the chest tightness during exercise is concerning, and my lipid panel is very abnormal.",High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart; it's really concerning.,High
hyperlipidemia,"Lately, i'm having chest discomfort when I exert myself, and my cholesterol is very high.",High
hyperlipidemia,"I'm experiencing shortness of breath, and my cholesterol levels are extremely elevated. I really need help.",High
hyperlipidemia,"I'm experiencing shortness of breath, and my cholesterol levels are extremely elevated. I really need help.",High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal. I really need help.",High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal; it's really concerning.",High
hyperlipidemia,"Lately, i'm having chest discomfort when I exert myself, and my cholesterol is very high.",High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal. I really need help.",High
hyperlipidemia,"Lately, i'm experiencing shortness of breath, and my cholesterol levels are extremely elevated.",High
hyperlipidemia,"The pain in my legs when walking has gotten worse, circulation seems very poor; it's really concerning.",High
hyperlipidemia,"The fatty deposits on my skin are new, and my blood tests show high lipid levels. I really need help.",High
hyperlipidemia,"Lately, i'm experiencing shortness of breath, and my cholesterol levels are extremely elevated.",High
hyperlipidemia,"I'm noticing yellowish deposits around my eyes, and my cholesterol levels are dangerous. I really need help.",High
hyperlipidemia,"Lately, i'm experiencing shortness of breath, and my cholesterol levels are extremely elevated.",High
hyperlipidemia,"Lately, the chest tightness during exercise is concerning, and my lipid panel is very abnormal.",High
hyperlipidemia,"Lately, i'm noticing yellowish deposits around my eyes, and my cholesterol levels are dangerous.",High
hyperlipidemia,"I am having chest discomfort when I exert myself, and my cholesterol is very high.",High
hyperlipidemia,"I'm experiencing shortness of breath, and my cholesterol levels are extremely elevated; it's really concerning.",High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart; it's really concerning.,High
hyperlipidemia,"The fatty deposits on my skin are new, and my blood tests show high lipid levels. I really need help.",High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal. I really need help.",High
hyperlipidemia,"The pain in my legs when walking has gotten worse, circulation seems very poor; it's really concerning.",High
hyperlipidemia,"Lately, the fatty deposits on my skin are new, and my blood tests show high lipid levels.",High
hyperlipidemia,Chest pressure during activity and extremely high cholesterol have me concerned about a heart attack; it's really concerning.,High
hyperlipidemia,"Lately, chest pressure during activity and extremely high cholesterol have me concerned about a heart attack.",High
hyperlipidemia,My family history combined with my high cholesterol has me very worried about my heart; it's really concerning.,High
hyperlipidemia,"The chest tightness during exercise is concerning, and my lipid panel is very abnormal. I really need help.",High
hyperlipidemia,"I'm having chest discomfort when I exert myself, and my cholesterol is very high. I really need help.",High
hyperlipidemia,"Lately, i'm having chest discomfort when I exert myself, and my cholesterol is very high.",High
hyperlipidemia,"I'm having chest discomfort when I exert myself, and my cholesterol is very high. I really need help.",High
hypertrophic obstructive cardiomyopathy (hocm),My heart races suddenly and I feel like I might pass out; the palpitations are terrifying.,High
hypertrophic obstructive cardiomyopathy (hocm),"I get severe chest pain during exercise, and I've nearly fainted several times.",High
hypertrophic obstructive cardiomyopathy (hocm),"The shortness of breath is getting worse, and my heart feels like it's pounding out of my chest.",High
hypertrophic obstructive cardiomyopathy (hocm),"I can feel my heart beating irregularly, and I get dizzy with any exertion.",High
hypertrophic obstructive cardiomyopathy (hocm),"The chest pressure during activity is intense, and I'm afraid to exercise anymore.",High
hypertrophic obstructive cardiomyopathy (hocm),"My family has a history of sudden cardiac death, and now I'm having these scary symptoms.",High
hypertrophic obstructive cardiomyopathy (hocm),I've been having episodes where my heart races uncontrollably and I nearly black out.,High
hypertrophic obstructive cardiomyopathy (hocm),The fatigue and breathlessness during normal activities is significantly limiting my life.,High
hypertrophic obstructive cardiomyopathy (hocm),"Lately, the fatigue and breathlessness during normal activities is significantly limiting my life.",High
hypertrophic obstructive cardiomyopathy (hocm),"Lately, i've been having episodes where my heart races uncontrollably and I nearly black out.",High
hypertrophic obstructive cardiomyopathy (hocm),The fatigue and breathlessness during normal activities is significantly limiting my life. I really need help.,High
